number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_weight_class_0,params_weight_class_1,params_weight_class_2,state
286,-0.6023901338290544,2025-12-04 13:36:33.620879,2025-12-04 13:36:54.632414,0 days 00:00:21.011535,0.8869089255803805,0.4651023666090783,0.08734628303541275,8,6,8,416,4.242781104993195,3.12916313053639,1.0983764867625736,0.6421819639953616,3.438735169703141,0.5106030406027313,1.6237290994729907,COMPLETE
287,-0.5979783106114309,2025-12-04 13:36:34.666757,2025-12-04 13:36:58.857686,0 days 00:00:24.190929,0.8767908138693561,0.13182779994910296,0.08750962048199434,5,7,8,415,3.6092186680673417,3.0756900061934926,1.2067954520455235,0.7218362519665474,3.4498614377257035,0.5108518389006166,1.8236230295999483,COMPLETE
288,-0.5978253326926395,2025-12-04 13:36:34.992149,2025-12-04 13:36:59.843806,0 days 00:00:24.851657,0.8769968514507361,0.33459615981539986,0.08635778633988056,8,7,8,418,3.537762221880874,3.126635271734517,1.199661977348692,0.6373354772235931,3.4480272004922883,0.5119608798190348,1.8334095853438954,COMPLETE
289,-0.5811768904803889,2025-12-04 13:36:37.769569,2025-12-04 13:36:59.754517,0 days 00:00:21.984948,0.838947489618918,0.1444649785333952,0.014272595478634506,10,6,8,415,4.278698330929757,3.1085096818641227,1.2096361878689246,0.6636548139911818,3.509759663503118,0.515520279916525,1.8139554219329184,COMPLETE
290,-0.5902844838964704,2025-12-04 13:36:39.950370,2025-12-04 13:37:05.983829,0 days 00:00:26.033459,0.8766242248876893,0.11070628993662011,0.014863649074048876,9,7,8,418,4.242614220363461,3.0361726954630037,1.1008703038478784,0.6377662594594455,3.4419238867480058,0.5099997962611555,1.624974185605905,COMPLETE
291,-0.5833118864220778,2025-12-04 13:36:43.333547,2025-12-04 13:37:04.453447,0 days 00:00:21.119900,0.8821287294249697,0.15787122159708472,0.0150627498349769,9,6,8,396,0.448308710024266,3.0536545778003368,1.2723949688593486,0.6390895262262186,3.4415937330814446,0.5084738311537728,1.806668066773182,COMPLETE
292,-0.589810717401811,2025-12-04 13:36:44.341006,2025-12-04 13:37:05.323741,0 days 00:00:20.982735,0.886806985406722,0.13679483510369533,0.07711765621660543,10,6,8,416,3.6196604017652088,3.0382334525771997,1.1000418221840615,0.6374379748600907,2.3608441785669982,0.5101094187153521,1.6199371416530324,COMPLETE
293,-0.6002888636313681,2025-12-04 13:36:45.479876,2025-12-04 13:37:06.249346,0 days 00:00:20.769470,0.8792256612466286,0.13254150821073674,0.08628039138937368,10,6,8,415,3.529233665963812,3.0986465457870027,1.257088429685126,0.6365842804157807,3.4482561459609737,0.5057965057493297,1.6270891417879192,COMPLETE
294,-0.6010720811824076,2025-12-04 13:36:46.594720,2025-12-04 13:37:06.623439,0 days 00:00:20.028719,0.8862740748094985,0.0011207721566869671,0.08621219228007708,9,6,8,396,4.194605462649557,3.0497218205011163,1.0986929095286495,0.6380872928073625,3.4401832532164054,0.510047649291014,1.8219795688604936,COMPLETE
295,-0.5983447681363248,2025-12-04 13:36:46.815408,2025-12-04 13:37:07.622233,0 days 00:00:20.806825,0.8375539034003581,0.0018337276460622942,0.08801018482965672,9,6,8,418,3.523688308422934,3.3492929252978314,1.202177161341138,0.6374161963579335,3.4356771065767404,0.5116923496695018,1.8328410025635449,COMPLETE
