learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_delta_step,scale_pos_weight,weight_class_0,weight_class_1,weight_class_2,value
0.046071519897050515,296,5,9,0.6344334095665095,0.6664733682347658,4.557003907144894,1.0035812099809915,1.616838072210211,3,0.5041854979150254,3.3246188878871923,0.5511512813351058,1.852442158131494,-0.5874940452617768
0.04985752043112074,303,5,3,0.7171171478162613,0.669640442414032,3.019167434418224,0.9095716824221608,1.6201838341041241,3,0.7105951778623278,3.33678197615834,0.6904629382445728,1.486828469041126,-0.5857572412194431
0.06705125809995484,291,4,3,0.7173408958353683,0.6654877913308773,2.7398588195164364,3.3920182501393965,1.6178124130958307,3,0.5140126916474128,3.332019064843671,0.672468777765212,1.8469256845295279,-0.5872077062924167
0.06519086071952457,495,4,3,0.7199814448166288,0.749163818781697,2.83946043199287,3.3987860836891657,1.6521053377909563,3,0.7134956184770398,3.52338235169589,0.7475738142212012,2.6743509039519533,-0.5790805791874304
0.06553877280823375,370,4,3,0.7184430632434362,0.6024408379248875,2.774101880009134,0.8286319503046173,1.696414310546229,3,0.5177006063195904,3.3326006837821054,0.6817952157014233,1.8765518306953783,-0.5908287892000613
0.06379553125774703,407,4,3,0.6275480915532647,0.7924296295337412,2.8538669450555347,0.8193918591300305,1.6256273902979141,3,0.6829713578668174,3.344001266036541,0.5469105327919277,1.8398559566815487,-0.5945085011367487
0.06346071526253366,183,4,9,0.7174717871283326,0.6022476427913067,2.7771369640187933,0.8978014271878569,1.7241921920555816,3,0.5052270993351579,3.3288379638182835,0.6665282089060378,1.8317146242881468,-0.577029382700941
0.06599048565251091,365,4,7,0.7293654316680906,0.7945869115544122,4.463178416319891,0.8212132963965176,1.6432935586853736,3,0.6794813316513786,3.3338999043561346,0.5532960526625624,1.8770508676566715,-0.5928231116491384
0.07175264124335691,496,4,7,0.7134938462719722,0.6010304954472261,3.8457284263699454,3.3042126473199724,1.697863512275362,3,0.5287621909160743,3.5344239214367743,0.6864835172876662,1.8497064565637518,-0.593351848345824
0.08896875041905643,371,4,7,0.7230576837611603,0.7861066496117537,3.9110770626521663,3.2509903939634315,1.65912427710329,1,0.5120338225927822,3.52480437212527,0.6909334096897249,1.8171161884644191,-0.5949519079858656
0.0878840840199313,376,4,7,0.7161323585472487,0.6039356905739095,3.8146881830907446,3.217568673001496,0.7589775435455148,1,0.5112824800379088,3.5040498627957057,0.5570754858350951,1.891475663020241,-0.5949354369919515
0.07606972490811637,364,4,7,0.7136859625376847,0.6014906361436905,4.033273723759674,3.3312903125368463,0.022016495257139557,1,0.5057318037243453,3.510289215481666,0.6952965434980561,1.8318518782006659,-0.5908791512599104
0.0896127480762969,367,4,7,0.7137001093039032,0.6037949449134555,3.867591641764133,4.026292072853879,0.7233877332001093,1,0.5008851895274884,3.506630894635206,0.6843717883842516,2.639628757310289,-0.5748413973893212
0.07440927391733371,180,4,7,0.7175617397152221,0.7927547000542936,3.893719345833889,3.2815862044383337,1.6360052374267768,1,1.6541501832920114,3.5101780523029276,0.6977083799020193,2.390339879998046,-0.5693359745294367
0.08805964560024482,166,4,9,0.6324760929682958,0.6448569106707933,4.391295836248059,0.8746167654644585,1.7419550671454507,1,0.6501180969526341,3.3571037494586244,0.6971964070267244,1.7338243367945254,-0.5845409344055187
0.07759541736209524,216,4,4,0.6312868430885189,0.6495866619321431,4.279880610615848,1.6575356662364693,1.6619845970330562,4,0.6478689649361136,3.5004928251820973,0.6234606507297535,1.7377532928394572,-0.5901217826536471
0.08570915268256457,183,4,4,0.8296566392134588,0.642370945857106,4.3918270714010035,1.767791564433031,1.6798188961460196,5,0.6679835786360613,3.335990286952384,0.49952110480598194,1.751694053994556,-0.5854577121888817
0.09008414206676826,499,4,4,0.8336435624708733,0.6010795425585718,4.11266017975292,0.8891297344662905,1.7037737636341526,4,0.6448071678502262,3.3466207467160674,0.702115130388233,1.731535284989649,-0.5954324773067269
0.0883050831547207,214,4,4,0.6222136357291044,0.645578389955464,4.459358725081413,1.716090381730943,1.622746215746277,4,0.6446400465905795,3.358011050788292,0.702946665396048,1.7428816738665813,-0.5888076181802161
0.08042579426479579,257,4,4,0.6249046227012764,0.7097290875043963,4.4629329978036845,1.7285042058572713,1.6504577773693565,4,0.6400706345411086,3.35015479949598,0.5033403247673354,1.7091095801680602,-0.5914842910041908
0.08222197800908503,254,4,4,0.6215708351187296,0.6033530753667193,4.387297319871992,1.763409711605115,1.6527257052046622,4,0.6263860928433771,3.0697524265803224,0.5021516658913681,1.712904988852813,-0.5893519833854667
0.08402746294339311,257,4,4,0.6309753913007321,0.6441067882253418,4.334581048099024,1.6327069196086024,1.594271289871579,4,0.6470404989655496,3.069731046050164,0.5536004439287641,1.7031271179061962,-0.590548363043043
0.08852198504168336,263,4,4,0.6297439387631876,0.647011748204526,4.396537370852076,1.6898895741234163,1.5286233144580248,4,0.6414567204015407,3.519992651007702,0.49916546537116546,1.734170556766669,-0.5922366218631926
0.08775541515248338,260,4,2,0.6268239662672165,0.6445332666075537,4.424217960769816,1.767018532565543,1.4656478713469911,4,0.6365483071846966,3.511044635529773,0.7001076282259617,1.7097939267505717,-0.5903991578538093
0.09024174027742828,260,4,2,0.6291309565848391,0.6421046354402665,4.4332915233111,3.2950018964905303,1.478340090094005,4,0.5933361871110051,3.5349259684343224,0.6207746843769595,1.7336281696605533,-0.5929999752327215
0.09081684326573417,261,4,2,0.6199770627009995,0.6372856944077464,4.36845826246771,3.4028947742206173,1.530491720083298,4,0.620035000609404,3.4748308431176715,0.5017759301817479,1.7184662275663738,-0.5912605477951582
0.08499602904188919,254,4,9,0.623388606046721,0.6345390246790537,4.35161012654295,0.4106333026726079,1.4724302095822015,4,0.6016535429483204,3.5224900021953514,0.6197251555270543,1.6682503100085209,-0.5919575530827466
0.0826975157593038,268,4,9,0.6264567756263487,0.6360771907806804,4.399450234864435,3.220695833379229,1.4632222868317686,4,0.6198906721142108,3.5267405835101813,0.5014493214385287,1.6858265888567787,-0.5905907394575645
0.07388023840721299,261,3,10,0.6219157898392673,0.6143613450667702,4.453462365100037,1.8091825502574486,0.024749026811109798,4,0.5945846449744652,3.5371162549030974,0.5465505698078655,1.9236973681643261,-0.5782028915156723
0.07446502200350287,260,3,2,0.6237052927610159,0.6125049871563236,4.063644669909426,1.8350356268164227,1.5208720950871877,4,0.5954935092724364,3.502365176975416,0.5124519538750749,1.9524382945854801,-0.5760966198905804
