m1 m2 m3 a_pc e b_pc phi theta psi f v_km_s Ecc_Anomaly t_coal_yr OUTCOME MERGE 2gBBH TRIPLE
24.09864191802691 36.83666244570521 73.01816966859728 0.0001091400834342 0.264563783777 0.0009819226585679 2.86912365678 2.5530498263797394 4.32093138149 -2.5489101245386467 9.917207049495708 3.90325685241 1.1708770470268326e+18 1 0 0 0
57.48126299222161 25.005981496355144 72.89281055515227 3.868641617471192e-05 0.301311671196226 0.0005428630552408 5.725642189692065 2.581791181200197 5.496214591572203 2.715542048497876 10.955006780037897 2.5674934801645577 7773795873265250.0 0 0 0 0
47.03286393536715 20.914994673235057 69.16803011583633 0.0001995972189628 0.933471583466 0.0017367807151776 5.46165923108 2.384840068359437 1.50934290547 3.074662672921565 6.132040310795249 2.78448576422 1.2720689062519484e+16 2 0 0 0
37.39771714018888 21.15449266297006 94.12736369866896 0.0010058984774568 0.8748942019552955 0.0058692378598274 3.580399743462804 2.039581808011727 0.0438231923200626 -3.114126472474718 3.8021237464994666 3.2478273865999654 8.856134094957606e+19 2 0 0 0
48.84345251301744 28.97966763099018 92.702959790427 0.0004689540978951 0.3273400447608886 0.0048723715902652 4.219655304882741 0.6375663013860773 4.054442993734847 2.0368584785847093 5.3052484540902105 1.71436738059856 1.6926196980864893e+20 0 0 0 0
39.6707375747301 24.62125146866869 64.2671409569088 0.0005305229353953 0.8285672420563034 0.0030713817615502 3.245241373331332 2.245379638051081 1.0226044494454896 2.8285846088392663 6.921749865912911 2.1898922962136567 1.3367447607955304e+19 0 0 0 0
33.06739669643995 24.204030739630824 62.44034595622279 7.03757736117531e-05 0.70714725732 0.0003507673559144 0.21453498041 1.3116296374366028 4.49373507689 3.1336383017718905 11.245444900021688 3.12238808384 2.744440960979904e+16 1 0 0 0
58.53813608515805 17.3332636418977 84.15268758908996 0.0011217187980445 0.76855591226 0.0038436410486056 0.520526229835 2.073017433442289 5.0356800495 -2.884108639437623 4.875705513351696 3.82891549217 5.352208974218333e+20 1 0 0 0
32.038364535352535 21.8775849808039 79.62597158545508 0.000468458757733 0.8417926857993973 0.0024541895000516 4.498536944358244 2.1742654419972327 4.826156429048318 -2.8114844745330645 9.009049917477332 4.175210655434057 1.0566212732165732e+19 1 0 0 0
28.98541369424699 24.76298999866314 67.15042545470654 0.0003940337184806 0.7579544688108115 0.000831943077503 5.032844174670699 1.681652797013855 3.2383522678327803 -2.066690538636572 6.57023553146718 5.169419052777812 1.854066212781944e+19 2 0 0 0
40.082207673278944 4.237797492090155 131.05361104765709 1.0416416416830756e-05 0.527996533926 0.000782949575275 2.69311173435 2.2144511089107284 0.326451107698 3.07152569655518 3.864329045533436 3.01564069965 283391355688292.5 1 0 0 0
27.189081764226653 26.670474071585605 75.23903026720518 0.008423577668643 0.7663491127131934 0.0175643581349796 5.769031008712735 2.713742328092817 0.0876108763867824 2.513853486935353 5.4713467189870535 1.6842941555660218 3.4497672779419463e+24 0 0 0 0
40.72665243587846 25.67124240762376 77.95085324285868 0.0004436819173557 0.370046433775628 0.00159596966882 1.196091921800644 1.895302879237194 2.273917840915034 -2.571642261819904 8.098488169345671 3.957197603303939 1.906186584799966e+20 2 0 0 0
18.86507288433128 34.14651410140172 129.14066558185297 0.0004056015483258 0.886670440534 0.0004806241237645 2.65061529489 2.1961482290736427 2.83629266169 2.6795397549034385 8.169380038016298 1.61185741308 2.328998722359628e+18 2 0 0 0
36.63956707956256 11.783215951031933 66.57533022532358 0.0014345558410783 0.6283928556775219 0.0053994034022719 2.660212042310288 1.0956126398511457 0.9466880688960616 -2.2797617603967457 6.67485769106756 4.674037144519389 1.997538294959905e+22 1 0 0 0
54.15653838553569 42.23199154360519 69.22824168810286 0.0006991542018072 0.5183185162094597 0.0018582265422113 5.920817117281802 1.6527150813065563 1.3986921744868477 -1.8974531864638453 10.612588673350654 4.951489419443533 2.062300540931992e+20 2 0 0 0
32.92809945416532 15.636248817503374 79.1064605545995 0.0001677783400437 0.840543699907 0.0003145986684032 2.2016671849 1.2513359255210843 4.70765418845 3.100574540311066 11.225090486761989 3.00244136364 2.6916530033623933e+17 1 0 0 0
38.87945579536878 31.789792884343285 68.02027855021788 0.0007019244428771 0.878826702715 0.0002552948866196 5.06489854462 1.3646974087857542 3.23678503874 -2.836157858551019 6.13945448576425 4.23133507022 1.0077072857219627e+19 2 0 0 0
39.20440930596167 49.54535545144111 69.37385668407562 0.0006085604304675 0.939233879775 0.0012988163229707 1.15190494282 1.439417066652694 4.85912754919 -2.91743159812139 13.63133595371186 4.2742858039 3.1768605313696544e+17 0 0 0 0
34.50040509445164 24.12942857233602 79.99139991011003 0.0008114965043171 0.967729154593994 0.0007465035264065 4.504913045596212 0.9985435436887964 4.949780583667112 2.9101788820891383 4.881392618811645 1.6676274766214192 4.430794633919719e+17 2 0 0 0
