number,value,datetime_start,datetime_complete,duration,params_class_1_weight,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_threshold,state
76,-0.6873749890526807,2025-12-07 14:58:36.058701,2025-12-07 14:59:05.664023,0 days 00:00:29.605322,2.960281948718054,0.8000199286726997,1.1100722884193732,0.0879393146256121,9,10,18,383,3.9769522912064654,0.4574415369447977,0.4952164097898249,0.8871040102596349,0.5918811721612837,COMPLETE
77,-0.7209632303467784,2025-12-07 14:58:37.220502,2025-12-07 14:59:12.600704,0 days 00:00:35.380202,2.928046729479254,0.7533035860571039,1.128761008164084,0.06980290943999504,10,5,18,386,3.897588754406317,0.3592091745380377,1.0644594480655143,0.8851530534433966,0.591717879179483,COMPLETE
78,-0.7216237234665416,2025-12-07 14:58:37.459896,2025-12-07 14:59:10.609121,0 days 00:00:33.149225,2.898304670957287,0.7534090918263011,0.4646050938885947,0.08763225831607398,9,5,18,362,4.000516030035841,0.47726177617097465,1.0449639810866647,0.8811032451661932,0.5983088978807481,COMPLETE
79,-0.7208880662891033,2025-12-07 14:58:39.483166,2025-12-07 14:59:14.728951,0 days 00:00:35.245785,3.0831107531770243,0.7530652584265911,0.450398678745777,0.07161857800484307,10,5,18,384,4.03087326587994,0.4367308139718599,1.0986494021093076,0.8968251277209267,0.59705062280167,COMPLETE
80,-0.719080623168433,2025-12-07 14:58:41.133464,2025-12-07 14:59:15.184441,0 days 00:00:34.050977,2.8603336429889814,0.7522904710876429,0.42192340821968344,0.08738202958822874,9,5,18,372,4.0179037577145,0.40132963029510826,1.0738164886092518,0.8894504018932705,0.5301630129610979,COMPLETE
81,-0.7196136974120101,2025-12-07 14:58:43.107621,2025-12-07 14:59:17.873615,0 days 00:00:34.765994,2.91274432294311,0.7983696248378503,0.43051945704924477,0.0850557619700237,10,5,18,376,2.7064593508936814,0.372816733370815,1.0558591946792486,0.8926574808464901,0.5347341695138519,COMPLETE
82,-0.7209925881986938,2025-12-07 14:58:43.667179,2025-12-07 14:59:19.900720,0 days 00:00:36.233541,3.0394495647180966,0.796854434696029,1.1357949995950558,0.06751853005512265,9,10,18,373,2.6813475079965294,0.44390747969476385,1.107723912135689,0.8986983122833867,0.5341740959553696,COMPLETE
83,-0.7214738464504522,2025-12-07 14:58:44.574910,2025-12-07 14:59:19.054833,0 days 00:00:34.479923,3.0445130989034834,0.7987908552522068,1.1264546663022967,0.0700906008272789,9,10,15,374,2.686865042762733,0.3132069729793065,1.027819784175695,0.8879412861037792,0.5301512113089644,COMPLETE
84,-0.7219655481449522,2025-12-07 14:58:44.662468,2025-12-07 14:59:19.434225,0 days 00:00:34.771757,2.8996197516091944,0.7599635761529739,0.4652755127912971,0.07320053035726522,10,10,15,364,2.712189232880724,0.542172343982382,0.8816663284170806,0.8902655782650555,0.5207044404339286,COMPLETE
85,-0.7224659391529261,2025-12-07 14:58:45.508039,2025-12-07 14:59:20.135779,0 days 00:00:34.627740,2.798193299263555,0.7595722192250488,0.4609118695456641,0.08582638302539171,10,10,15,359,3.4872206073261385,0.3138313680599524,0.898332198931099,0.8930495262518601,0.5332544141560523,COMPLETE
86,-0.7195423562763639,2025-12-07 14:58:45.560604,2025-12-07 14:59:15.515845,0 days 00:00:29.955241,4.069092126120555,0.7649739600002062,1.1166326688367008,0.08777701469849568,10,10,17,360,2.7015073144893798,0.41781104665769586,0.9659982362093895,0.8997549561199829,0.525900173938685,COMPLETE
87,-0.7016096398279638,2025-12-07 14:58:48.787305,2025-12-07 14:59:20.713898,0 days 00:00:31.926593,2.7559563910014537,0.763366895119112,1.1521320524484877,0.0856334523749561,4,10,15,359,3.491912455784583,0.28065047756125505,0.4787833013733583,0.8994001662872537,0.538390576377951,COMPLETE
88,-0.7189410221435896,2025-12-07 14:58:50.884947,2025-12-07 14:59:28.818623,0 days 00:00:37.933676,2.7895676655720574,0.7677408569565537,0.7849775600453092,0.07214543548827908,4,10,15,346,3.6629067992500994,0.26538929155023266,0.9827765322483208,0.8948649609225499,0.4230474161931468,COMPLETE
89,-0.7220816557904608,2025-12-07 14:58:52.410917,2025-12-07 14:59:25.989407,0 days 00:00:33.578490,2.8388850434978528,0.7618585634458078,1.1564330028239131,0.06855482656609109,4,10,15,346,2.709140959377064,0.4020710961294954,0.9436038381499321,0.8985769152121214,0.5416928124641966,COMPLETE
90,-0.7230649947345091,2025-12-07 14:58:52.617506,2025-12-07 14:59:30.109876,0 days 00:00:37.492370,2.7249756239395566,0.7593479706941176,1.163359066210679,0.06989723931700967,4,10,15,342,2.7250867710927387,0.29177504254196707,0.8881760758470518,0.898514193505068,0.5257918561324608,COMPLETE
91,-0.7220246249357769,2025-12-07 14:58:52.941494,2025-12-07 14:59:22.079022,0 days 00:00:29.137528,2.813323003970295,0.7714354666129716,1.1271546061147804,0.08724435460414899,4,10,15,288,3.6215913190645894,0.30708523664913734,0.9966745638944955,0.7702855308104554,0.5363903076020958,COMPLETE
92,-0.7223251394817888,2025-12-07 14:59:02.952192,2025-12-07 14:59:32.905913,0 days 00:00:29.953721,2.7637900467488055,0.7670970801953546,1.1330364405288218,0.08676456012889162,4,10,15,348,2.6978770303881587,0.2120901891437183,0.9788481535065546,0.8987137417510589,0.5349804389544837,COMPLETE
93,-0.7221867224622092,2025-12-07 14:59:04.085259,2025-12-07 14:59:39.510583,0 days 00:00:35.425324,2.784061918991751,0.758307595215073,1.1692518304722546,0.07004138497134184,4,10,15,284,2.688035180076549,0.2846376090345276,0.9631343930136389,0.8942725668041723,0.5339612392491888,COMPLETE
94,-0.7187130002048925,2025-12-07 14:59:04.577653,2025-12-07 14:59:34.144160,0 days 00:00:29.566507,2.7171242092383405,0.7619271559265486,0.7834004512321991,0.0864776536080332,10,10,15,308,2.7139535407259348,0.26454247359297206,0.9036346827829707,0.8496361912555627,0.4120187689514856,COMPLETE
95,-0.7228683644249412,2025-12-07 14:59:05.664929,2025-12-07 14:59:40.822940,0 days 00:00:35.158011,2.7150902508722328,0.7624850915520776,0.767707078870518,0.07131431617045028,4,10,15,300,2.655921473185921,0.274324756193559,0.8081265265097777,0.8960653569068183,0.5380355323278833,COMPLETE
96,-0.7182440694083292,2025-12-07 14:59:10.610184,2025-12-07 14:59:35.478893,0 days 00:00:24.868709,2.76690587071519,0.7109110531600873,0.7643029652539282,0.06838884915217361,8,4,15,284,4.875102254500334,0.25778424720919924,0.9510720656795221,0.8975285181473586,0.539503421114383,COMPLETE
97,-0.7223149172467161,2025-12-07 14:59:10.785129,2025-12-07 14:59:37.979281,0 days 00:00:27.194152,2.795959909565775,0.7586751050592121,0.7778122339045475,0.08523745215787619,8,10,17,287,2.686665323599014,0.23664519554286667,0.9420714655528164,0.8484546284606559,0.5394944479542159,COMPLETE
98,-0.7224471117262654,2025-12-07 14:59:12.601914,2025-12-07 14:59:40.937017,0 days 00:00:28.335103,2.754027083055691,0.7639657039959572,0.764018139154354,0.08568727749819084,10,10,17,293,2.6987681345464485,1.8558569204884854,0.9539719414863052,0.8579748461451397,0.5412139111068336,COMPLETE
99,-0.7159897361100518,2025-12-07 14:59:14.730075,2025-12-07 14:59:39.601244,0 days 00:00:24.871169,2.2812183773400907,0.7608708617266156,0.7227416606020864,0.0737963945440406,10,4,17,285,4.6363807602217175,0.2493700544734359,0.9636771880681786,0.8983372758258802,0.4140932313209812,COMPLETE
100,-0.7195269178761201,2025-12-07 14:59:15.185876,2025-12-07 14:59:39.815243,0 days 00:00:24.629367,2.7406059439310493,0.7636448466270782,0.8235658048455882,0.07302072282355637,10,4,17,283,4.760446302829127,0.7040527667197871,0.9550750620394534,0.8963808985050422,0.5700638493809925,COMPLETE
