number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_weight_class_0,params_weight_class_1,params_weight_class_2,state
404,-0.5298335551958361,2025-12-03 23:44:27.094782,2025-12-03 23:46:27.393009,0 days 00:02:00.298227,0.8083892640675759,0.19652256906675336,0.08801776583524382,10,1,722,0.8026398378050125,8.064542554321276,0.8861307908957824,2.5143364609717263,0.566768445289373,1.3965142943409972,COMPLETE
405,-0.5340799070678699,2025-12-03 23:44:33.143352,2025-12-03 23:46:40.733136,0 days 00:02:07.589784,0.9241711650301385,0.17825977200773974,0.08938742868923426,10,1,723,0.8100777324596938,8.019131370714398,0.8846866856973283,2.49447220017913,0.5970338434942312,1.5313735213587398,COMPLETE
406,-0.533748916899407,2025-12-03 23:44:34.794284,2025-12-03 23:46:37.390541,0 days 00:02:02.596257,0.9373891067343124,0.17805824069454662,0.09319636180168568,10,1,698,0.7845073937194865,0.49158754826644774,0.8850765636200876,2.503090167220251,0.5666192648598114,1.5323454816102453,COMPLETE
407,-0.5269148700341807,2025-12-03 23:44:34.949244,2025-12-03 23:46:01.124069,0 days 00:01:26.174825,0.9315441581716096,0.19444943220148847,0.0917179010236557,10,1,490,1.2797992688674897,7.80825720092515,0.8829210501484545,2.4900557151184395,0.5659773467374414,1.3931322222144005,COMPLETE
408,-0.5356462284133388,2025-12-03 23:44:36.355078,2025-12-03 23:46:42.792207,0 days 00:02:06.437129,0.9770782801097858,0.1661326098049274,0.08670416742722772,10,1,721,0.7080230957081491,0.4537606366679607,0.8836378738277334,2.7401336940938816,0.5952454610280986,1.393942655109038,COMPLETE
409,-0.535440265744726,2025-12-03 23:44:43.301819,2025-12-03 23:46:47.680421,0 days 00:02:04.378602,0.9724594218236974,0.18630803045038313,0.09028728454226574,10,1,724,0.7988791709015172,8.065330258650159,0.882919270335972,2.4876166026960065,0.5971204244146016,1.380649450902829,COMPLETE
410,-0.5370903794570615,2025-12-03 23:44:44.589119,2025-12-03 23:46:50.415905,0 days 00:02:05.826786,0.9711288367232744,0.18008064590482617,0.08664602028410442,10,1,721,0.7700777000872172,0.5146177032189354,0.8837685546302237,2.4912610529290387,0.5973558176782262,1.429651358935901,COMPLETE
411,-0.5360233642789116,2025-12-03 23:44:45.541153,2025-12-03 23:46:51.212332,0 days 00:02:05.671179,0.9736405849667891,0.17501195763932187,0.08993254352655909,10,1,725,0.8099218683118443,0.4249381908667772,0.8825033890943719,2.5021571283317106,0.5980853921298943,1.384010088932675,COMPLETE
412,-0.48165224895213327,2025-12-03 23:44:54.850683,2025-12-03 23:45:25.863371,0 days 00:00:31.012688,0.9251405352910741,3.3009779090976674,0.08962507125020884,10,1,725,0.8762966973429274,8.874412977906204,0.8825453652958835,2.4643429625966204,0.5959820239280189,1.384449262043621,COMPLETE
413,-0.5277382976487098,2025-12-03 23:45:01.241259,2025-12-03 23:46:30.615961,0 days 00:01:29.374702,0.9289459417598983,0.17072350005715625,0.08365526896507874,10,1,489,0.7874511839116528,8.042653411962458,0.821780162011743,2.478675557110749,0.5973491939863882,1.3856964121580577,COMPLETE
414,-0.5336541978982835,2025-12-03 23:45:02.076201,2025-12-03 23:47:15.909705,0 days 00:02:13.833504,0.9292844457388907,0.13699406303462763,0.08344394952913005,10,1,726,1.3126828949672622,8.931441259521714,0.8118153040496411,2.487194112514515,0.5976443434703737,1.393377927919818,COMPLETE
415,-0.5348217125480416,2025-12-03 23:45:03.902590,2025-12-03 23:47:13.078318,0 days 00:02:09.175728,0.971909547070745,0.17711687711215757,0.08635726282833173,10,1,734,0.8108004565316393,9.337169775142923,0.8812035308132724,2.4805729366312113,0.5973934159839867,1.3837863826650905,COMPLETE
416,-0.4852271178004855,2025-12-03 23:45:06.331397,2025-12-03 23:45:41.474190,0 days 00:00:35.142793,0.9251809953565394,3.198299597092266,0.08364011883343768,10,1,732,1.2613611810180938,8.854765125231038,0.8170703775499589,2.485866501779676,0.5978116205982952,1.3831256649692545,COMPLETE
417,-0.5311956068482077,2025-12-03 23:45:06.625549,2025-12-03 23:47:21.161033,0 days 00:02:14.535484,0.9706161670335374,0.11177901046921794,0.10526383188108178,10,1,735,0.8001571081720379,8.896725885664257,0.8156145850784077,2.4853137609981144,0.5968586058513491,1.3850777479341287,COMPLETE
418,-0.5209683658064806,2025-12-03 23:45:13.227678,2025-12-03 23:46:19.690148,0 days 00:01:06.462470,0.9722426124844405,0.11147706430192386,0.08038656746120829,10,1,346,0.7727057225779985,9.617778822012804,0.8184897095604361,2.480029225724985,0.5991330185849844,1.3906557338972678,COMPLETE
419,-0.5321270682997951,2025-12-03 23:45:13.657875,2025-12-03 23:47:28.888706,0 days 00:02:15.230831,0.9466585057036809,0.11035734809469999,0.10545436330822057,10,1,737,0.8627459209196402,9.017841594550628,0.8165274893418673,2.488401698432335,0.5979255095670656,1.3866305548353168,COMPLETE
