learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,weight_class_0,weight_class_1,weight_class_2,value
0.19454919210549404,583,10,1,0.6662617489158092,0.5152114143719415,9.079423397711624,0.9181154489313659,2.239324915646004,2.3300881104643434,0.6058064847360692,1.3709834392208538,-0.48593146998107056
0.2101462189708863,602,10,1,0.6659587598392172,0.6934009469464911,7.097689582914188,0.8309526633714097,2.2293832960377773,2.346071678612327,0.6038613880305421,1.381922270732439,-0.49379963960403667
0.1407641939358478,95,10,1,0.6698407839066045,0.6793290767511968,7.256289764731822,0.5024811413506403,2.211189093292726,1.958609685106809,0.5634564994728362,1.2594064853455547,-0.4974118306983734
0.14155056157921725,649,10,1,0.663623840449442,0.6696394190048902,6.257753622708423,0.9741661465134204,2.9347665717967497,1.9500596075129852,0.6065464510071074,1.378742338242036,-0.5010758704458059
0.14136316429848828,667,10,1,0.6608673072166034,0.6887660297167235,2.791949396255313,0.9715514101275808,0.14030088282471537,1.93014594712543,0.6069127826245176,1.373526939416379,-0.5265220872111643
0.14276882609692454,88,10,1,0.660091140168563,0.7220292307119498,7.2287209851758725,0.6439256104198052,0.09149248163154607,2.293936624406402,0.5587734901907291,1.3826406407136047,-0.4901383793526106
0.1365220707705045,716,10,1,0.7665477177983495,0.725112407503787,7.220107353876874,0.4402517250652629,0.11456495733274119,2.3575288161183843,0.50766797731078,1.3887104773904162,-0.5201452600125016
0.197300275866849,578,10,1,0.6627924405394048,0.667404282292603,7.214629870719246,0.3810557996962298,0.052974382918940716,2.3433039746821596,0.6067164935591882,1.251813202582331,-0.5226293468937762
0.06529641732197747,567,10,1,0.7685347196428779,0.7326746072721748,6.343467360258617,0.9777403857056371,0.017493454961718904,1.9402072047505754,0.5604877853447732,1.3669538699511345,-0.5247745278120878
0.19790278073310413,663,10,1,0.761993128499566,0.7160540158149584,6.1578235815054505,7.900485234678285,0.0661129384939514,2.2961558712340135,0.6068537945915768,1.3762830643351955,-0.5246626093737926
0.1954433985338988,713,10,1,0.7568034186205295,0.7329163625282199,6.250929581624229,8.113742777934844,0.05578276008945543,1.9350247922340875,0.4754262818360831,1.3902480527867367,-0.5237184331391134
0.05988112712971008,674,10,1,0.7641344845184407,0.6910413108709613,6.2556961956737185,8.166428190379051,0.032771626784848275,1.9320801590868841,0.6144464024417856,1.5688378549857012,-0.5242651461113765
0.2064232280193178,674,10,1,0.7641229896228615,0.688656036819583,6.1588903385057066,8.38009163308186,0.02837449870769863,1.9301597638481747,0.48257217938622876,1.927977409954784,-0.5210068779571088
0.06401087294312566,670,10,1,0.7680276630629315,0.6963523744772551,6.34863953580805,7.858721183930015,1.4692100033373725,1.9227098954407362,0.508641907758162,1.260343510642891,-0.49307667317316334
0.05926756554048059,676,10,1,0.7619284866416558,0.7397883197366651,6.236297439842761,8.075199873079153,1.852854161413583,1.9370312225133484,0.5069697739940526,1.5662429105085425,-0.47014865275309736
