number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_weight_ratio_0,params_weight_ratio_1,state
213,-0.7103642465398061,2025-12-07 13:28:49.614053,2025-12-07 13:29:16.323799,0 days 00:00:26.709746,0.8180711980439053,0.7340159516292115,0.05808856022103196,3,6,9,528,2.317159938764818,0.4912506759696156,1.7022485809892363,0.8560153176617807,1.1660227473836047,0.8969764785425169,COMPLETE
214,-0.6843438500490525,2025-12-07 13:28:49.841867,2025-12-07 13:28:55.732460,0 days 00:00:05.890593,0.7668823584537511,0.795923835868314,0.05824745151699447,6,6,6,473,1.2599679061808877,2.3749283403462202,1.243567325578537,0.7923728729292432,1.1651902942595416,0.9964565812953737,COMPLETE
215,-0.7047525057473933,2025-12-07 13:28:50.659955,2025-12-07 13:29:14.250654,0 days 00:00:23.590699,0.7991040995780722,0.776262797474816,0.0430645159950668,6,6,6,446,2.263282822180884,0.2634284634841432,1.7092186244099616,0.7910751125280271,1.1616013533254408,0.9810538704113263,COMPLETE
216,-0.6957640773804314,2025-12-07 13:28:51.652759,2025-12-07 13:29:17.395849,0 days 00:00:25.743090,0.7639760640546347,0.7454038724689123,0.01961769483296471,6,6,6,477,4.6175412540037515,0.5603266933822193,1.7089374394803927,0.791642832208058,1.1482031353443773,0.9812212909726121,COMPLETE
217,-0.683776553693597,2025-12-07 13:28:52.475893,2025-12-07 13:29:01.550961,0 days 00:00:09.075068,0.7650120216698185,0.33573648295236913,0.022848992879047753,6,6,6,382,4.13748662768944,0.588904876017094,1.2467076521010263,0.7882525257191411,1.1667007742120101,0.9830813158004197,COMPLETE
218,-0.7079501792768165,2025-12-07 13:28:53.072415,2025-12-07 13:29:23.150329,0 days 00:00:30.077914,0.768502204572814,0.8107291993357675,0.07596170056295995,7,6,6,598,4.648831184316081,0.6181343747193518,1.445269213203894,0.7663900554693625,1.159859781211375,0.9823090511504129,COMPLETE
219,-0.7104129608219972,2025-12-07 13:28:53.652255,2025-12-07 13:29:22.991727,0 days 00:00:29.339472,0.7634046721086267,0.7903091970884226,0.07446377365507374,7,6,6,584,4.621035836930902,0.5794062176110257,1.5556344116950591,0.7920394052357476,1.1760499294451603,0.9833199366282108,COMPLETE
220,-0.7117370495306341,2025-12-07 13:28:53.828021,2025-12-07 13:29:18.534490,0 days 00:00:24.706469,0.7692689198973677,0.3943259863668577,0.049037075364198345,6,6,6,474,2.3356833406709203,0.5357574163936132,1.4281817370251766,0.7968121639005997,1.1667358052119334,0.9976316379531104,COMPLETE
221,-0.6878154458287833,2025-12-07 13:28:55.735441,2025-12-07 13:29:25.787284,0 days 00:00:30.051843,0.795447496945206,1.5889382543355643,0.04299647923419308,3,6,9,592,2.2362354318942006,0.5713946742648924,1.6952841206539861,0.7661890673377526,0.8356590965211195,0.9806335034315351,COMPLETE
222,-0.7004853955820699,2025-12-07 13:28:56.218911,2025-12-07 13:29:13.312754,0 days 00:00:17.093843,0.7990283908536446,1.0535384988363865,0.07442236277640843,3,6,9,321,1.5459170568828398,0.15854453822022396,1.333315126143517,0.7664983690785838,0.8323050673493299,0.9799715419076267,COMPLETE
