number,value,datetime_start,datetime_complete,duration,params_class_1_weight,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_threshold,state
88,-0.7261896305746981,2025-12-07 14:19:04.104423,2025-12-07 14:20:06.115183,0 days 00:01:02.010760,6.260493076574517,0.7321872584343497,0.32450807062532827,0.03583383165297925,6,6,19,680,1.1178560289588275,3.0541762460978696,2.5374169969803546,0.7822431153341352,0.32147380429832134,COMPLETE
89,-0.7264149702091859,2025-12-07 14:19:05.938812,2025-12-07 14:19:49.906316,0 days 00:00:43.967504,5.428953425096197,0.7649146354035123,0.3361348211301541,0.059461390605372665,9,6,19,714,1.107312904634099,3.111763683077939,2.5190378994576945,0.7832331058909183,0.3180317877297179,COMPLETE
90,-0.7253503262232791,2025-12-07 14:19:06.003542,2025-12-07 14:19:50.667831,0 days 00:00:44.664289,5.477702353920812,0.7303784251812103,0.3386088117248629,0.03571367253433408,9,6,19,432,1.1112098716481813,3.1150828062668054,2.4989010000240777,0.6855685653315621,0.3163977763709701,COMPLETE
91,-0.7253924101710895,2025-12-07 14:19:06.211023,2025-12-07 14:19:50.187073,0 days 00:00:43.976050,5.4813035778291646,0.7594903093425076,0.37009660874224126,0.036402655249459535,9,6,19,426,1.1328878766869848,3.097682108240421,2.514827799171678,0.6989187863153444,0.3206458476355134,COMPLETE
92,-0.7277939881156741,2025-12-07 14:19:08.259816,2025-12-07 14:19:53.639873,0 days 00:00:45.380057,4.24213094950859,0.7635340956643889,0.32176904095056214,0.03793104818486525,5,6,19,443,2.4045699815881223,3.0880183436933213,2.549391911691015,0.7013155383419961,0.32004409195754335,COMPLETE
93,-0.7273231901395558,2025-12-07 14:19:08.365379,2025-12-07 14:19:52.258654,0 days 00:00:43.893275,4.326842443633463,0.7299494329370091,0.3241362903654276,0.03624245017457646,5,6,19,426,1.1485992985544324,1.9209877692261839,2.5452826806095317,0.7001129774856263,0.322100190165014,COMPLETE
94,-0.7273671830043907,2025-12-07 14:19:13.681686,2025-12-07 14:20:09.707340,0 days 00:00:56.025654,5.377561298463015,0.7610629855514532,0.5029106203573954,0.037059814429768564,9,7,19,715,1.1334965671738382,2.014615239611229,2.4817802116297076,0.784844473658248,0.31964238167071213,COMPLETE
95,-0.7264795432669436,2025-12-07 14:19:14.250903,2025-12-07 14:20:12.891352,0 days 00:00:58.640449,5.560626630222026,0.730878813296504,0.4871425706859287,0.0368215185588445,9,6,15,717,1.0632068400608614,1.8721480067608127,2.5180226698349775,0.7884225939747366,0.3136182565081112,COMPLETE
96,-0.7281692312994853,2025-12-07 14:19:15.353421,2025-12-07 14:20:11.072897,0 days 00:00:55.719476,4.295401572005696,0.7612490112874413,0.49789447135968756,0.036618624647000296,5,7,20,727,3.884083513300632,2.078075026487049,2.5664665234930393,0.6948806193122865,0.31871319241384755,COMPLETE
97,-0.7288401157659694,2025-12-07 14:19:27.256349,2025-12-07 14:20:21.182316,0 days 00:00:53.925967,4.326892935527637,0.8178894383389305,0.12782208447850354,0.03578356968497166,5,7,20,493,1.1800585543215427,2.434007542556641,2.5235697813587596,0.7010888452095402,0.3205042605550141,COMPLETE
98,-0.7270227079832465,2025-12-07 14:19:28.541895,2025-12-07 14:20:21.020440,0 days 00:00:52.478545,5.407040920536423,0.8221804232530245,0.5158794605911905,0.03857538706857458,5,7,20,535,3.8001780327392005,1.7418599198247957,2.5904627166559906,0.7831211766014612,0.31736865509526613,COMPLETE
